provincia,departamento,2021,2022,2023
La rioja,Rosario Vera Peñaloza,15736,15852,15967
La rioja,San Blas de los Sauces,3884,3869,3854
La rioja,Sanagasta,2691,2716,2741
La rioja,Vinchina,2759,2753,2746
La pampa,Atreucó,10585,10583,10579
La pampa,Caleu Caleu,2809,2848,2889
La pampa,Capital,120858,121922,122966
La pampa,Catriló,8181,8236,8290
La pampa,Chalileo,3744,3807,3871
La pampa,Chapaleufú,13185,13289,13390
La pampa,Chical Co,1518,1515,1514
La pampa,Conhelo,14165,14124,14076
La pampa,Curacó,1204,1217,1228
La pampa,Guatraché,8838,8803,8766
La pampa,Hucal,7370,7339,7305
La pampa,Lihuel Calel,314,305,296
La pampa,Limay Mahuida,590,597,604
La pampa,Loventué,9147,9161,9173
La pampa,Maracó,67995,68619,69231
La pampa,Puelén,12423,12691,12962
La pampa,Quemú Quemú,9087,9090,9093
La pampa,Rancul,11111,11108,11103
La pampa,Realicó,18102,18215,18324
La pampa,Toay,18605,19234,19878
La pampa,Trenel,5306,5287,5266
La pampa,Utracán,16257,16332,16403
Formosa,Bermejo,16431,16576,16718
Formosa,Formosa,273881,276309,278654
Formosa,Laishi,19120,19228,19333
Formosa,Matacos,17356,17551,17739
Formosa,Patiño,77488,77974,78445
Formosa,Pilagás,20663,20783,20899
Formosa,Pilcomayo,97745,98490,99211
Formosa,Pirané,70079,70300,70514
Formosa,Ramón Lista,17256,17495,17727
Entre Ríos,Colón,78535,80043,81563
Entre Ríos,Concordia,192924,194711,196476
Entre Ríos,Diamante,51782,52175,52558
Entre Ríos,Federación,84769,86203,87641
Entre Ríos,Federal,28358,28522,28682
Entre Ríos,Feliciano,16571,16670,16767
Entre Ríos,Gualeguay,59130,59690,60241
Entre Ríos,Gualeguaychú,125501,126759,128003
Entre Ríos,Islas del Ibicuy,13527,13633,13737
Entre Ríos,La Paz,72378,72691,72990
Entre Ríos,Nogoyá,41427,41541,41646
Entre Ríos,Paraná,379856,382741,385567
Entre Ríos,San Salvador,20018,20229,20439
Entre Ríos,Tala,26686,26708,26724
Entre Ríos,Uruguay,114198,115221,116229
Entre Ríos,Victoria,39974,40279,40576
Entre Ríos,Villaguay,52876,53092,53297
Corrientes,Bella Vista,41918,42229,42532
Corrientes,Berón de Astrada,2844,2870,2896
Corrientes,Capital,414927,418880,422722
Corrientes,Concepción,26209,26590,26961
Corrientes,Curuzú Cuatiá,50264,50656,51036
Corrientes,Empedrado,16523,16606,16686
Corrientes,Esquina,33191,33318,33441
Corrientes,General Alvear,8127,8124,8122
Corrientes,General Paz,15774,15817,15860
Corrientes,Goya,98754,99283,99797
Corrientes,Itatí,10282,10353,10424
Corrientes,Ituzaingó,33815,33964,34110
Corrientes,Lavalle,33993,34366,34731
Corrientes,Mburucuyá,10124,10176,10226
Corrientes,Mercedes,45052,45326,45591
Corrientes,Monte Caseros,42279,42696,43100
Corrientes,Paso de los Libres,54326,54690,55044
Corrientes,Saladas,24615,24762,24905
Corrientes,San Cosme,16921,17102,17278
Corrientes,San Luis del Palmar,20100,20270,20435
Corrientes,San Martín,15197,15340,15478
Corrientes,San Miguel,11604,11665,11725
Corrientes,San Roque,19983,20075,20165
Corrientes,Santo Tomé,74106,75045,75957
Corrientes,Sauce,9392,9401,9409
Cordoba,Calamuchita,72164,73837,75530
Cordoba,Capital,1460905,1467867,1474541
Cordoba,Colón,309982,318211,326575
Cordoba,Cruz del Eje,69645,70632,71615
Cordoba,General Roca,41043,41454,41859
Cordoba,General San Martín,145973,147485,148975
Cordoba,Ischilín,36625,36968,37307
Cordoba,Juárez Celman,70658,71496,72326
Cordoba,Marcos Juárez,115851,116662,117448
Cordoba,Minas,5083,5090,5097
Cordoba,Pocho,5806,5834,5860
Cordoba,Presidente Roque Sáenz Peña,40727,41037,41340
Cordoba,Punilla,216702,220275,223850
Cordoba,Río Cuarto,280194,282566,284887
Cordoba,Río Primero,54501,55165,55825
Cordoba,Río Seco,15659,15822,15984
Cordoba,Río Segundo,117259,118396,119514
Cordoba,San Alberto,44613,45317,46021
Cordoba,San Javier,60790,61406,62013
Cordoba,San Justo,230517,232495,234432
Cordoba,Santa María,121060,123090,125124
Cordoba,Sobremonte,5091,5118,5144
Cordoba,Tercero Arriba,122294,123022,123723
Cordoba,Totoral,22000,22312,22623
Cordoba,Tulumba,14213,14314,14413
Cordoba,Unión,118906,119867,120804
Chubut,Biedma,119737,123366,127040
Chubut,Cushamen,24835,25126,25407
Chubut,Escalante,238946,243481,247987
Chubut,Florentino Ameghino,1795,1804,1813
Chubut,Futaleufú,49418,49842,50246
Chubut,Gaiman,13047,13184,13316
Chubut,Gastre,1365,1358,1353
Chubut,Languiñeo,3118,3107,3096
Chubut,Mártires,711,704,700
Chubut,Paso de Indios,1796,1781,1767
Chubut,Rawson,145697,146455,147153
Chubut,Río Senguer,6266,6281,6295
Chubut,Sarmiento,15427,15802,16179
Chubut,Tehuelches,5506,5493,5479
Chubut,Telsen,1517,1510,1499
Chaco,Almirante Brown,43567,44310,45038
Chaco,Bermejo,27761,27937,28110
Chaco,Chacabuco,36517,36960,37393
Chaco,Comandante Fernández,115861,117275,118660
Chaco,12 de Octubre,26640,26966,27285
Chaco,2 de Abril,7909,7931,7952
Chaco,Fray Justo Santa María de Oro,14575,14786,14992
Chaco,General Belgrano,14977,15208,15435
Chaco,General Donovan,14355,14398,14440
Chaco,General Güemes,78289,79099,79891
Chaco,Independencia,26305,26589,26868
Chaco,Libertad,14898,15107,15312
Chaco,Libertador General San Martín,69585,70352,71102
Chaco,Maipú,27234,27327,27414
Chaco,Mayor Luis J. Fontana,60381,60712,61036
Chaco,9 de Julio,32550,32829,33102
Chaco,O'Higgins,21885,21990,22092
Chaco,Presidencia de la Plaza,13555,13617,13679
Chaco,1º de Mayo,12701,12883,13061
Chaco,Quitilipi,39073,39426,39773
Chaco,San Fernando,446661,450608,454478
Chaco,San Lorenzo,16099,16186,16271
Chaco,Sargento Cabral,18069,18220,18369
Chaco,Tapenagá,4260,4261,4261
Chaco,25 de Mayo,32540,32759,32975
Catamarca,Ambato,4638,4641,4645
Catamarca,Ancasti,2908,2899,2890
Catamarca,Andalgalá,20102,20225,20346
Catamarca,Antofagasta de la Sierra,1670,1687,1703
Catamarca,Belén,31663,31921,32175
Catamarca,Capayán,18882,19082,19278
Catamarca,Capital,185250,187057,188824
Catamarca,El Alto,3924,3945,3966
Catamarca,Fray Mamerto Esquiú,13745,13875,14001
Catamarca,La Paz,25392,25572,25748
Catamarca,Paclín,4305,4305,4304
Catamarca,Pomán,12569,12696,12821
Catamarca,Santa María,24130,24209,24286
Catamarca,Santa Rosa,14336,14504,14668
Catamarca,Tinogasta,23326,23351,23375
Catamarca,Valle Viejo,32151,32507,32855
Buenos Aires,Almirante Brown,601618,605271,608878
Buenos Aires,Avellaneda,357440,358512,359550
Buenos Aires,Berazategui,369294,372889,376431
Buenos Aires,Esteban Echeverría,377237,383538,389731
Buenos Aires,Ezeiza,224228,229276,234233
Buenos Aires,Florencio Varela,525270,533446,541606
Buenos Aires,General San Martín,425911,426556,427191
Buenos Aires,Hurlingham,194597,195596,196582
Buenos Aires,Ituzaingó,182011,182993,183959
Buenos Aires,José C. Paz,311187,314878,318364
Buenos Aires,La Matanza,2327874,2374149,2419872
Buenos Aires,Lanús,462760,462693,462628
Buenos Aires,Lomas de Zamora,650678,652937,655122
Buenos Aires,Malvinas Argentinas,363263,366479,369648
Buenos Aires,Merlo,613509,620307,626975
Buenos Aires,Moreno,549930,558068,566103
Buenos Aires,Morón,318104,317584,317073
Buenos Aires,Quilmes,672199,679375,686466
Buenos Aires,San Fernando,175845,176795,177731
Buenos Aires,San Isidro,291963,291704,291448
Buenos Aires,San Miguel,306469,308784,311065
Buenos Aires,Tigre,470776,478432,485999
Buenos Aires,Tres de Febrero,344117,344172,344221
Buenos Aires,Vicente López,267257,266880,266538
Buenos Aires,Adolfo Alsina,17507,17532,17556
Buenos Aires,Adolfo Gonzales Chaves,11899,11877,11855
Buenos Aires,Alberti,11018,11041,11064
Buenos Aires,Arrecifes,31520,31709,31895
Buenos Aires,Ayacucho,21364,21436,21506
Buenos Aires,Azul,67835,68002,68167
Buenos Aires,Bahía Blanca,310639,311175,311704
Buenos Aires,Balcarce,45829,45967,46102
Buenos Aires,Baradero,36649,36956,37258
Buenos Aires,Benito Juárez,20542,20551,20561
Buenos Aires,Berisso,97406,98101,98786
